idromele	appannaggio
ortogonalità	perpendicolarità
acquerello	acquarello
idroplano	aliscafo
equilibrio	moderatezza
risposta	reazione
pezzetto	mozzicone
migrazione	emigrazione
verso	rovescio
direttivo	dirigenza
versione	adattamento
atrofia	deperimento
fonderia	tropico
evoluzione	boria
colombiano	orologio
agitatore	capopopolo
denigrazione	burattinaio
disposizione	collocamento
castità	virtù
spartiacque	displuvio
grafico	diagramma
divo	vedette
animazione	esaltazione
cubito	ulna
cane	percussore
recapito	indirizzo
pirotecnica	pirotecnia
stratagemma	artificio
sinossi	estratto
erosione	rodimento
bordo	limite
spartito	partitura
allegoria	favola
branda	brandina
serietà	gravità
determinatezza	esattezza
cachet	marchio
natante	barca
spareggio	deficienza
impertinenza	insolenza
inversione	derivazione
contenzioso	vertenza
spaventapasseri	spauracchio
edera	ellera
editore	redattore
mister	coach
dietologia	dietetica
energia	dinamismo
agenesia	aplasia
maturazione	scadenza
tedio	noia
macchia	radiatore
esigenza	requisito
pomposità	ridondanza
rappresentazione	immagine
collocamento	occupazione
sostegno	adesione
scoglio	intoppo
fosforite	guano
asta	palo
remissività	arrendevolezza
sortilegio	stregoneria
anatomista	anatomico
baffo	vibrissa
categorizzazione	classificazione
consapevolezza	coscienza
rappresentanza	delegazione
mazzo	gruppo
scultore	statuario
leitmotiv	motivo
falciola	falcetto
issopo	isopo
ludibrio	zimbello
menzione	riferimento
grandezza	mole
tavola	asse
taglia	misura
battuta	misura
fondente	fondant
perdigiorno	bighellone
nettunio	ausonio
bisognoso	diseredato
funzione	uffizio
orario	ruolino
calzatura	calzare
planimetria	pianta
raffinatezza	aristocrazia
respiro	alito
burino	cafone
esposizione	posa
esproprio	espropriazione
turbamento	agitazione
uccello	volatile
canadese	inevitabile
devianza	deviante
annaffiatura	innaffiatura
lassativo	purgante
disposizione	collocazione
abiezione	fango
riga	righello
bello	bellezza
viottolo	via
ascesa	scalata
inflessione	accento
pitocco	taccagno
cartella	borsa
dentice	cantaro
orto	ortaglia
bottoniera	occhiello
impasto	poltiglia
effetto	resultato
kermesse	sagra
confusione	casino
punta	puntale
decollazione	decapitazione
facciata	fronte
combattimento	lotta
laghetto	stagno
termos	thermos
margherita	pratolina
cittadina	villaggio
emblema	immagine
imposta	gelosia
materiale	materia
caduceo	vincastro
associazione	alleanza
olfatto	naso
chiostro	monastero
movimentazione	maneggio
predica	sermone
autocrate	ras
cittadino	suddito
passatismo	franchigia
ramo	frasca
aula	classe
disordine	trascuratezza
fumo	fumata
disattivazione	inattivazione
concordato	trattato
battente	batacchio
balocco	gioco
batterio	bacterio
fettuccia	nastro
palombaro	sommozzatore
bocciolo	bottone
cuocere	cottura
riflessione	osservazione
mostra	rassegna
immondizia	lordura
magnificenza	splendore
civiltà	educazione
precorrimento	prefigurazione
dentista	odontoiatra
stato	terra
tesoro	finanze
fodero	fondina
solvente	diluente
introito	gettito
accusa	addebito
lastricatura	pavimentazione
azione	gioco
corniola	cornalina
stecchino	stuzzicadenti
congegno	meccanismo
cartello	freccia
aridità	secco
incubazione	cova
attaccapanni	gancio
ombra	tenebra
elica	rotore
pertugio	buco
sollecitazione	preghiera
orfanotrofio	brefotrofio
cimelio	ricordino
condizione	circostanza
acutezza	acume
tributo	tassa
dispetto	malizia
scorreria	razzia
concezione	nozione
terra	massa
contorno	sagomatura
valzer	walzer
genepì	assenzio
fallo	errore
sibilo	aria
dramma	massacro
futuro	domani
esattore	collezionista
bandista	musicante
impressione	effetto
amento	gattino
tribordo	dritta
tampone	cuscinetto
pitale	orinale
asprezza	rigore
rispetto	stima
caminata	camminata
monachella	culbianco
smobilitazione	smilitarizzazione
tappo	nanerottolo
angelus	asprezza
fragilità	delicatezza
adianto	capelvenere
censo	patrimonio
rigore	rigidezza
orgasmo	oratore
circuito	corsa
pometo	brolo
compito	lezione
straglio	sartia
vestire	toilette
manipolazione	epilogo
belato	lagna
maragià	maharajah
base	piedistallo
bottega	laboratorio
transistore	transistor
comodità	agio
lustro	chierico
ambientamento	adeguamento
commemorazione	rievocazione
tormentatore	carnefice
gaggio	ostaggio
fascicolo	stampato
microbo	bacterio
ribasso	flessione
mestiere	capacità
web	www
seminario	convegno
epopea	epos
paraninfo	magnaccia
pizia	pitia
capobarca	skipper
gola	ghiottoneria
giungla	jungla
film	cinematografia
lama	coltello
bacherozzo	verme
studio	atelier
inondazione	alluvione
anguria	cocomero
sfortuna	sfiga
matraccio	ampolla
miracolo	prodigio
scappavia	sotterfugio
carcere	gattabuia
palpitazioni	tachicardia
talassemia	microcitemia
movimento	tempo
fanale	proiettore
formichiere	mangiaformiche
ananas	ananasso
bistrot	bistrò
onda	ondulazione
occorrenza	bisogno
bisnonno	cavo
buffa	visiera
serpe	colubro
misurazione	misura
originalità	novità
lesione	pregiudizio
bugia	menzogna
dittatura	tirannide
bussolo	bossolo
racconto	novella
negriere	schiavista
harem	serraglio
codifica	codice
cavalletto	trespolo
ragazzina	femminuccia
giocatore	genuinità
trasduttore	traslatore
canestro	cestino
palestra	elucubrazioni
sventura	traversia
cabriolet	convertibile
mandrillo	satiro
delirio	frenesia
pomata	crema
antichità	arcaicità
chiosa	glossa
proscrizione	proibizione
lacrima	lagrima
manifestazione	espressione
violetta	mammola
ammaestramento	educazione
lucido	trasparente
coordinamento	coordinazione
uscere	usciere
impulso	spinta
focolare	fornello
mimetizzazione	mimetismo
spesa	costo
confusione	foschia
cameraman	cineoperatore
manifestazione	dimostrazione
ingegneria	tecnologia
slargo	spianata
comino	cumino
superfice	superficie
apparecchiatura	preparativo
prosperosità	floridità
sterro	scavo
malfattore	gaglioffo
nazionalizzazione	statalizzazione
trasgressione	infrazione
stima	approssimazione
sportello	portiera
talea	viola
dedizione	divozione
precisione	accuratezza
consapevolezza	foulard
gioiello	gemma
preoccupazione	inconveniente
parvenza	colore
danno	torto
acquitrino	lama
vettura	cocchio
attività	azione
bontà	eccellenza
sprint	scatto
colorante	tintura
manna	provvidenza
sbirro	poliziotto
match	combattimento
maretta	frizione
terra	regione
antinomismo	divertimento
sempreverde	semprevivo
lancia	ecografia
reggipetto	reggiseno
scrittoio	secretaire
baccellierato	baccalaureato
avviso	disdetta
predilezione	debole
susino	prugno
istigazione	fomentazione
autoctono	aborigeno
metafora	traslato
capo	testa
getto	lancio
gigolo	mantenuto
vuotezza	vacuità
felpa	peluche
oftalmoiatria	oculistica
invasato	spiritato
balcone	terrazzo
novelletta	novella
malese	porridge
dimostrante	manifestante
spezzatura	frammento
mangusta	mangosta
polca	polka
rampollo	discendente
ciuffo	ciocca
aspide	serpe
disaccordo	disarmonia
spirea	sassofono
licenziamento	congedo
ugola	uvula
neocortex	neocorteccia
bruma	caligine
clava	enunciazione
fascicolo	numero
manganella	bastone
cattolico	nomenclatura
dipendente	subordinato
decembre	dicembre
valore	merito
metapsichica	parapsicologia
amenità	gradevolezza
concetto	avviso
glicole	diolo
sgabuzzino	ripostiglio
archegonio	ceppo
commutatore	centralino
mazurka	mazurca
berlina	gogna
mancanza	assenza
annotazione	appunto
decorrenza	proroga
pignoleria	meticolosità
pedagogo	istitutore
tutela	salvaguardia
peste	terremoto
estro	idea
calcolo	conteggio
linea	forma
inserzione	reclame
cortesia	cordialità
triunvirato	triumvirato
strega	fattucchiera
industria	solerzia
mondezza	spazzatura
fischietto	fischio
soffietto	mantice
doratura	tostatura
elementi	rudimento
pasticceria	cremeria
lobbysta	lobbista
decesso	morte
voga	tendenza
triclorometano	cloroformio
atteggiamento	positura
intrusione	signore
capienza	capacità
bisonte	uro
annichilamento	annichilazione
welter	golf
cuscino	guanciale
anormalità	eccezione
nobiltà	aristocrazia
pennello	finanza
spasmo	crampo
pellerossa	pellirossa
bloccaggio	fermo
castelletto	fido
corridoio	andito
attesa	ritardo
cartoteca	atlante
mutazione	mutamento
angolo	spigolo
gratificazione	incentivo
devastazione	rovina
bottatrice	vaso
privilegio	onore
brandy	acquavite
malore	collasso
annali	acciarino
bordo	margine
particolare	dettaglio
pruno	susino
riscaldamento	sintesi
belletta	limo
ceco	cieco
trombonista	trombone
urto	tamponamento
ascensore	lift
garzetta	egretta
manicure	manicurista
rivalutazione	apprezzamento
lettore	abbonato
cervella	cervello
bestemmia	imprecazione
esempio	lezione
daino	cervo
giubba	giuba
reinserimento	riabilitazione
esercente	mercante
mixer	frullatore
vegetarianismo	vegetarismo
cuciniere	cuoca
condotta	raffinatezza
suono	audio
forziere	lettiga
esultazione	giubilo
prora	prua
espulsore	eiettore
buddismo	buddhismo
gioco	effetto
pedigree	genealogia
defogliazione	defoliazione
ombrellino	parasole
governatore	governante
contrafforte	sperone
relazione	elaborato
confusione	smarrimento
follia	demenza
carrozzella	carrozzina
archibugio	artiglieria
intensità	acutezza
roncolo	ronchetto
stralcio	squarcio
spruzzata	spruzzo
vagabondo	barbone
toga	prospettiva
saliscendi	chiavistello
vetta	cuspide
grugno	muso
favola	fiaba
territorio	circoscrizione
bruma	teredine
piattaforma	programma
convoglio	treno
kerosene	cherosene
labbro	labbra
affare	cosa
allodola	classifica
idrocoltura	idroponica
lattuga	insalata
magazzinaggio	accumulazione
sobillatore	fomentatore
fissato	esaltato
hall	sala
decimetro	dm
floricoltura	natura
panino	focaccia
altea	malvarosa
locandiere	oste
costruzione	costrutto
decorazione	medaglia
internato	collegio
clima	cielo
edificatore	fabbricatore
adultero	fornicatore
chilogrammo	kg
spranga	barra
combattente	acerina
imposta	dazio
interno	dentro
fastello	stipa
compiacimento	gratificazione
fiato	resistenza
sincronia	sincronismo
etichetta	cerimoniale
faretra	turcasso
inflessibilità	rigidità
prospettore	tiglio
nome	sostantivo
programma	trasmissione
passino	colo
tesi	linea
proiettore	riflettore
immunopatologia	manopola
risarcimento	compensazione
paraplegico	perizia
gestazione	gravidanza
abitudine	dizione
scopa	granata
muschio	musco
male	iettatura
condottiero	comandante
laboratorio	gabinetto
sega	mesozoico
attitudine	genio
amide	ammide
diluvio	nubifragio
abbonamento	tessera
musicalità	armoniosità
calma	tranquillità
ingessatura	gesso
vernacolo	dialetto
gesto	lenzuolo
maggiorente	potente
posatezza	pacatezza
accezione	senso
adoratore	ammiratore
egalitarismo	egualitarismo
autista	chauffeur
impiccio	impedimento
ecologo	ecologista
stanghetta	sbarretta
insalata	lattuga
eseguibilità	realizzabilità
truciolare	truciolato
copiglia	coppiglia
angheria	irritazione
atteggiamento	serenità
schiera	piena
lilla	serenella
piegamento	ripiegatura
orpello	princisbecco
incisione	registrazione
televisore	televisione
brocco	mediocre
aminoacido	amminoacido
molecola	iniziato
prototipo	originale
prebendato	prebendario
circolo	cerchio
collegamento	relazione
protesta	contestazione
ascoltatori	audience
levigatrice	pulitrice
congrega	gang
amnio	amnios
canale	condotto
pallina	globetto
frutice	arbusto
carnagione	incarnato
sconsideratezza	imprudenza
sperimentazione	esperienza
scompartimento	compartimento
tamburello	cembalo
reticenza	aposiopesi
iter	procedimento
saputo	cacasenno
fantino	jockey
resa	riconsegna
deflusso	riflusso
esborso	spesa
baldoria	bisboccia
tavolo	tavola
arco	arcata
consulente	consigliere
pandemia	tignosa
voce	parte
boccone	bocconcino
tesseramento	intestazione
prova	fatica
brago	pantano
linguaggio	gergo
musica	banda
montante	palo
fucile	schioppo
vigore	energia
rovine	rudero
congegno	strumento
cauzione	pegno
portabandiera	alfiere
mammola	timido
estro	fancy
logica	lussazione
ospite	pensionante
caverna	antro
predecessore	antecessore
numero	numerale
stortura	incongruenza
satrapa	satrapo
filantropo	documentario
precisione	esattezza
psilosi	alopecia
esponente	portavoce
slealtà	bassezza
uso	utilizzo
richiedente	istante
diritto	dritto
oggetto	contenuto
censo	ricchezza
decesso	avventismo
educazione	allevamento
testiera	spalliera
anomalia	anormalità
ammontare	totale
goletta	gorgiera
pizzo	mosca
crudeltà	inumanità
marina	marineria
dibattito	dibattimento
carneficina	catastrofe
carnefice	giustiziere
riflettore	proiettore
bravata	spacconeria
calorosità	cordialità
conservatore	tradizionalista
refrigeratore	refrigerante
regalia	mancia
corrispondenza	parallelismo
intolleranza	zibellino
assertività	vulcanismo
desolazione	devastazione
ripercussione	contraccolpo
rettore	curato
pergola	chiosco
scalpellino	lapidario
dinamicità	dinamismo
molto	assai
tentazione	adescamento
estensore	compilatore
arcidiocesi	archidiocesi
unità	componente
contraddizione	controsenso
slargamento	ampliamento
mais	granturco
confortatore	consolatore
rinvio	aggiornamento
cavezza	capestro
tramontana	borea
patina	verderame
metropolitana	metrò
lavagna	ardesia
gergo	slang
exclave	enclave
lettore	cuccuma
ringraziamento	grazie
rosone	rosa
urina	orina
boato	bramito
scoramento	avvilimento
manipolo	clan
carico	soma
raffigurazione	rappresentazione
segno	accenno
stampigliatura	bollo
scomparsa	sparizione
piromane	incendiario
tono	mutazione
dissertazione	alabastro
tirocinante	praticante
cannibalismo	antropofagia
encefalo	cervello
morte	fine
orefice	orafo
rantolo	affanno
nobile	aristocratico
specifica	capitolato
caldaia	bollitore
verso	voce
violazione	sconfinamento
dilazione	differimento
scarsità	mediocrità
moda	lembo
resoconto	cronistoria
paragone	raffronto
galera	prigionia
gradinata	spalti
riguardo	rispetto
ingordo	divoratore
stalattite	disattenzione
acromegalia	macrosomia
bulletta	chiodino
acqua	pioggia
mammona	cavia
vanità	vanagloria
confettura	marmellata
madrelingua	linguamadre
consiglio	concilio
figlia	figliola
solidarietà	comprensione
bando	proclama
anelito	dispnea
vena	giacimento
garetto	garretto
ghigno	sogghigno
fila	rango
sentenza	giudizio
posizione	appostamento
corsia	corridoio
mandria	armento
edicolante	strillone
elogio	encomio
tisana	infuso
turbamento	orma
illecito	fattaccio
colorazione	coloritura
copiatore	congratulazione
mercenario	avventuriero
aberrazione	emporio
qualità	bontà
conoscenza	coscienza
temerarietà	audacia
desinare	cena
moderazione	temperanza
virtù	ornamento
spazio	opportunità
taglio	filo
ironia	sarcasmo
viverra	zibetto
generale	generico
quietismo	rito
nuoto	notata
maggioranza	generalità
cuspide	guglia
catecumeno	neofita
epigrafe	dedica
trombettista	cornettista
mortella	mirto
interesse	profitto
professionalità	professionismo
biomassa	evento
quantità	dose
violetto	viola
calunnia	denigrazione
obbiezione	replica
comparabilità	confronto
bellicosità	belligeranza
lancetta	ago
nitidezza	nettezza
fibula	perone
corpus	cintura
culinaria	gastronomia
nazionalsocialismo	hitlerismo
pari	eguale
colle	montuosità
cinto	estraneità
confidenza	segreto
paggio	valletto
batosta	inconveniente
plauso	lode
apocope	troncamento
animazione	vita
rivolta	geriatra
coppa	trofeo
male	pena
appartenente	membro
amalgama	spartano
avvolgibile	tapparella
combattente	lottatore
stringimento	pressione
consegnatario	destinatario
graffa	grappa
galleria	balconata
targhetta	targa
deflusso	portata
matrice	madre
illegalità	illegalismo
coca	cocaina
attrezzatura	strumentazione
esemplare	esempio
irrevocabilità	inappellabilità
ripetizione	reiterazione
comico	commediante
memoria	ricordo
cane	cattivo
tetto	massimale
coniuge	consorte
rimborso	indennità
commercio	mercato
programmazione	pianificazione
cantuccio	canto
caruba	carruba
elettività	eleggibilità
ricoprimento	occultamento
dissolutezza	sfrenatezza
terminologia	nomenclatura
particolarità	peculiarità
opinionista	commentatore
novero	gruppo
indirizzo	corrente
branca	ramo
spunto	battuta
naviglio	canale
susina	distanza
ciminiera	comignolo
paguro	eremita
distesa	estensione
invio	congedo
tensione	stress
puerilità	infantilità
idiotismo	idiozia
respirazione	respiro
banda	fascia
annuncio	bando
codardo	pavido
fusto	barile
carrozza	vettura
ruga	solco
arcivescovado	arcivescovato
intelligenza	capacità
termine	parola
riposo	pensionamento
damasco	damascato
concistorio	concistoro
corsia	pista
ispirazione	illuminazione
artigliere	cannoniere
scombro	maccarello
piccolo	prole
voce	lemma
crauti	generalessa
lumaca	marmotta
manette	manetta
miscela	mistura
ribalta	proscenio
cessione	alienazione
pallottoliere	abbaco
memorizzazione	puntata
oceano	mare
compagno	camerata
registrazione	grillo
discorso	conversare
angolo	cantonata
composizione	costituzione
brama	ingordigia
specie	razza
fattoria	masseria
ascesa	levata
distrazione	diversivo
anticrittogamico	antiparassitario
favola	chiacchiera
trombettiere	tromba
branco	gregge
opera	lavoro
mandarancio	clementina
chiusura	chiusa
educazione	modo
retribuzione	versamento
cerca	ricerca
forma	stile
ardore	passione
vallone	forra
argon	argo
grassetto	neretto
supplemento	integrazione
abbraccio	basilico
rinforzo	rafforzamento
molinello	ciclone
fodero	guaina
predizione	previsione
poesia	poema
estensione	denotazione
curato	vicario
rimbalzo	contraccolpo
cl	centilitro
favore	cortesia
strofinaccio	canovaccio
razione	porzione
zuffa	lotta
tiglio	limetta
mutuante	archetto
minimo	meno
undici	squadra
guscio	conchiglia
supervisore	capofabbrica
carnaio	ossario
gergo	cinturino
fedele	sostenitore
tunnel	traforo
fesseria	bricia
lacca	smalto
trippa	pancia
consumatore	fruitore
arciere	saettiere
fascino	richiamo
schiuma	spuma
masseria	minaccia
rompicollo	esagitato
simonia	passaggio
innocente	magnate
corruzione	adescamento
pirata	corsale
era	età
sovrappassaggio	passavia
fattorino	galoppino
criminalità	criminosità
curva	virata
curiosità	rarità
tapioca	timo
subordinato	iponimo
modo	porto
colluttazione	mischia
pochezza	deficienza
orafo	orefice
panico	terrore
dono	presente
lolita	ninfetta
avvisatore	allarme
elevatore	paranco
irritabilità	nervosismo
cintola	girovita
stabilimento	manifattura
considerazione	stima
brontolone	mormoratore
spurgo	espettorazione
bilanciamento	equilibrio
illibatezza	cinquecento
negriero	negriere
pelliccia	reversibilità
esplorazione	ricerca
ragionamento	disputazione
coupon	certificato
testardaggine	armatore
radium	radio
detrazione	denigrazione
arietta	motivetto
studente	alunno
istigazione	fomento
risveglio	sveglia
repugnanza	disgusto
percentuale	quota
sommarietà	impersonalità
abuso	illecito
predeterminazione	predestinazione
cantiere	darsena
rosé	rosatello
copertone	telone
tronco	ciocco
lato	fianco
elfo	folletto
lussazione	slogatura
martedì	marte
lavorazione	realizzazione
decongestionante	settimo
corona	anelito
rimessa	partita
insegna	emblema
marchiatura	marcatura
levità	lievità
ricambio	succedaneo
uffizio	funzione
ritardo	tardività
pisello	bischero
intellighenzia	intellettualità
dongiovanni	donnaiolo
istrione	interprete
scarico	immondezzaio
annunciatore	speaker
bull	rialzista
generosità	munificenza
variante	versione
cianfrusaglie	caldarone
paraocchi	parocchi
sagrestia	sacrestia
misericordia	clemenza
giornata	giorno
acariasi	acariosi
fastigio	acme
morso	spasimo
maniera	modo
scherano	sicario
lazzeretto	lazzaretto
botola	tombino
bruciatura	bruciamento
democratico	populista
cucirino	refe
cumolo	cumulo
guasto	panne
sostanza	essenza
crypto	krypton
pispola	storiella
vipera	marasso
presentimento	premonizione
modulazione	passaggio
diramazione	biforcazione
dissidente	nonconformista
decenza	rispettabilità
indicazione	direttiva
paprica	paprika
focolare	camino
tavolone	assone
passamano	balaustrato
transenna	sbarramento
campo	campagna
auspicio	presagio
lesione	cantonata
poesia	musa
zucca	cucurbita
panteon	pantheon
lasciapassare	passi
torace	fusto
idolatria	feticismo
signore	feudatario
cervello	discrezione
chicco	perlina
cocchiere	postiglione
locandina	cartellone
tritatutto	tritacarne
efficienza	resa
potenza	influenza
vanadato	avventura
dormitorio	camerata
proprietario	possessore
festa	natale
sottogonna	sottoveste
portapacchi	portabagagli
forgiatura	fucinatura
laparatomia	laparotomia
obesità	grassezza
afrodisiaco	eccitante
pressappochismo	faciloneria
gioiosità	felicità
tesoriere	economo
ateo	senzadio
castrato	castrone
materia	sostanza
sirena	cordellina
soccorritore	impalamento
coccolo	beniamino
valico	colle
applicabilità	pertinenza
condominio	fabbricato
desio	disio
elianto	girasole
zanni	buffone
lancia	rampone
aggiunta	aggiunzione
argine	barriera
sparata	favola
piedistallo	zoccolo
neutrone	silicosi
suggello	bollo
irco	caprone
armellino	albicocco
arbitraggio	ufficiatura
fruizione	consumo
fauno	sileno
ecogoniometro	ecoscandaglio
inversione	anastrofe
pistone	stantuffo
affiatamento	armonia
volta	tempo
gonococco	araucaria
fienaia	stalla
frumento	grano
uomo	maschio
staio	bushel
fascia	metro
infiammazione	eccitazione
bordo	bordata
hitcher	autostoppista
intestino	alvo
unificazione	unione
morso	morsicata
luccichio	scintillio
gauss	storia
bontà	buono
sottigliezza	finezza
incensiere	turibolo
elixir	elisir
figura	acquedotto
nutrizione	alimentazione
compagno	socio
falsariga	modello
firma	nome
menù	mammalogia
supposizione	ipotesi
costanza	perseveranza
escudo	passato
dito	digito
guitto	gigione
otorinolaringoiatra	otorino
raffica	folata
pubblicità	promozione
tema	motivo
conferenza	lettura
borsetto	borsetta
caratterista	macchiettista
circondario	mandamento
carruggio	budello
verità	stordimento
velario	tenda
preoccupazione	apprensione
scrivano	amanuense
fantaccino	fante
clemenza	indulgenza
periodo	stagione
distacco	commiato
bugola	bugula
ostruzione	intasamento
pericolo	rischio
ammiratore	beccamorto
effetto	tratta
maneggevolezza	dirigibilità
basicità	alcalinità
certificazione	autenticazione
duopolio	diarchia
ingresso	input
platea	orchestra
vittimismo	autocommiserazione
bontà	benignità
rigidezza	durezza
cliché	stereotipo
rincalzo	sopporto
landa	landra
conoscenza	aggancio
scrivania	banco
successo	vittoria
permanenza	visita
copricapo	cappello
taglialegna	rostro
mucca	vaccina
anonimato	anonimo
ghiaia	ciottoli
stampa	impressione
trasparenza	chiarità
corrispondente	reporter
receptionista	receptionist
terrina	zuppiera
formicolio	formicaio
arricchimento	misurino
indotto	rotore
eliso	elisio
arpagone	ancoretta
allievo	alunno
snellezza	esilità
meschinità	grettezza
tempesta	biotite
mucchio	legione
autonomia	indipendenza
kiwi	kivi
castrato	strobilo
caffetteria	bar
equivoco	fraintendimento
militare	armato
letargo	letargia
presentazione	introduzione
mitezza	clemenza
lavanda	spigo
libreria	libraio
avvertenza	dolcezza
giornalista	articolista
capitano	comandante
bruna	mora
cliché	matrice
curva	ansa
delfino	farfalla
smoking	kappa
tana	nascondiglio
cattolicità	generalità
consorte	coniuge
gioventù	giovane
predicatore	pastore
souplesse	adattabilità
minuscolo	minuscola
gente	popolo
xeres	sherry
lavoratore	lavoratrice
verginità	illibatezza
commissario	giannizzero
indoratore	doratore
troglodita	cavernicolo
chef	cuoco
androgino	ermafrodita
stravolgimento	equivoco
canone	affitto
vessillifero	messaggero
venezolano	venezuelano
sprovvedutezza	impreparazione
auleta	flauto
conseguenza	critica
onestà	equità
crêpe	crespella
patrocinio	sponsorizzazione
bisaccia	tascapane
dolore	angustia
dirigibile	aeronave
cernia	cerna
cosmetico	belletto
baleno	lampo
assortimento	varietà
pulicaria	psillio
convittore	interno
passione	otturatore
tentennare	tentennamento
fila	riga
settore	ambito
choc	shock
appendice	supplemento
cabala	cabbala
rudezza	rozzezza
interfaccia	porta
miscela	impasto
gambo	stelo
servizio	giuridicità
imbottigliamento	intasamento
raucedine	afonia
manzo	bue
cancrena	necrosi
feudalesimo	feudalismo
ignominia	obbrobrio
faccetta	sfaccettatura
imitatore	epigono
governo	esecutivo
nailon	nylon
dodecaedro	insinuazione
tosaerba	tagliaerba
malandrino	brigante
religione	fede
paracadutista	parà
salvietta	tovagliolo
bussa	percossa
embriogenesi	crescita
dissenso	diverbio
socievolezza	sociabilità
cosmonave	aeronave
lena	energia
malanno	magagna
vincitore	trionfatore
inclinazione	pendenza
muraglia	muro
smog	caligine
risultato	frutto
tumulto	disordine
percento	percentuale
ardire	sfida
solitudine	isolamento
tokaj	tocai
fatalità	inevitabilità
monastero	convento
diapason	corista
cargo	mercantile
fatalità	destino
sparpagliamento	dispersione
imam	iman
quotidiano	giornale
ampolla	ampollina
opinione	avviso
vigliaccheria	viltà
instabilità	fluidità
cavernosità	affossamento
matita	lapis
casella	quadretto
ragià	rajah
insenatura	ansa
estremista	oltranzista
scacchiera	damiera
imbarazzo	impaccio
morto	corpo
mezzo	metà
evasione	distrazione
lucro	utile
condoglianze	commiserazione
karkadè	carcadè
camminatore	pedone
allenamento	istruzione
dama	regina
disertore	rinnegato
pertinacia	fermezza
catottrica	uro
puntata	episodio
malaria	paludismo
spaziosità	apertura
pila	batteria
cartella	certificato
inspirazione	inalazione
distruttore	assassino
graffa	graffetta
primogenito	maggiore
calma	flemma
viscere	frattaglie
classificazione	classifica
zelo	accuratezza
mitragliatrice	mitraglia
kappa	cappa
veleggiatore	aliante
scambio	baratto
mestizia	malinconia
ovatta	bambagia
aculeo	spina
adempimento	assolvimento
divano	canapè
prova	evidenza
oncia	boccone
prodezza	coraggio
espero	occaso
bivio	dilemma
romantico	sentimentale
mantello	custodia
retribuzione	ricompensa
natalizio	compleanno
bancarotta	fallimento
vigilante	guardiano
timbro	conio
cinico	criticone
schermo	copertura
galeotto	carcerato
pezza	tela
carro	barroccio
unno	vandalo
carico	caricamento
possibilità	teoria
temerità	araucaria
ricettacolo	talamo
fautore	protettore
murale	murales
antecedenza	precedenza
ufficiale	funzionario
paraguaiano	paraguayano
mm	millimetro
randello	mazza
borsa	sacco
negativo	negativa
riesumazione	dissotterramento
nichilismo	nihilismo
zampino	zampetta
ripidità	ripidezza
maestro	competente
didatta	insegnante
disobbedienza	disubbidienza
seme	colore
decoro	dignità
aiuola	aiola
liturgista	rubricista
stibnite	stibina
attrezzatura	cordame
sacchetta	musetta
imboscata	agguato
guardaroba	armadio
area	ambito
finimenti	imbrigliatura
bandita	riserva
notizia	articolo
delitto	crimine
ristampa	riedizione
scorrevolezza	scioltezza
stelletta	asterisco
festeggiamento	celebrazione
equivalenza	equipollenza
braccialetto	cerchietto
differenziazione	diversificazione
cappella	coro
grembiule	grembiale
piuma	pennacchio
indole	animo
calore	ardore
straglio	strallo
ufficio	uffizio
aspetto	piazza
apporto	contributo
correggiato	applicazione
raccoglitore	coglitore
copertura	reportage
aumento	maggiorazione
diminuendo	decrescendo
borghese	civile
garanzia	malleveria
cognato	consanguineo
lampo	cerniera
leziosità	affettazione
impazienza	irrequietezza
opportunismo	trementina
cesarismo	despotismo
passatoia	guida
etica	moralità
riformato	protestante
mania	fissa
amo	zimbello
rotella	pispola
prosperità	ricchezza
pescaggio	pescagione
dissidio	bega
devoto	praticante
tumulo	tumolo
ampiezza	scala
eminenza	altezza
simpatia	amichevolezza
mormorio	fragore
portantina	lettiga
pancia	stomaco
difformità	discordanza
villeggiatura	feria
sconcerto	stupore
avvilimento	umiliazione
invulnerabilità	inattaccabilità
mordente	efficacia
tachigrafo	ordinario
cassula	covata
prestatore	usuraio
falso	imitazione
ordinativo	commissione
prossimità	vicinanza
risanamento	contrizione
natica	chiappa
furbizia	arte
beneficienza	beneficenza
alloggiamento	alloggio
campo	pianura
crepitio	scoppiettio
luogo	titolo
agitazione	fermento
installazione	istallazione
cotangente	dialettica
patito	appassionato
gestore	amministratore
pericolosità	rischiosità
attestazione	attestato
culturista	bodybuilder
grisbi	preda
liceità	legalità
sacertà	sacralità
dilettante	amatore
parapetto	spalletta
sistema	organizzazione
confine	demarcazione
fischiata	fischio
valigia	bagaglio
calcina	malta
aspetto	lato
menu	menù
squilibrio	sbilanciamento
indennità	sussidio
accelerata	accelerazione
neo	neon
rimprovero	rimbrotto
aeronautica	aereonautica
intellegibilità	intelligibilità
spazzola	pennello
detenzione	imprigionamento
nocciolo	avellano
deregolamentazione	deregulation
profumiera	profumiere
altezza	statura
bersaglio	obiettivo
asprezza	acidità
millesimo	millennio
strettezza	angustia
poiana	bordura
conduttura	tubazione
motoscooter	lambretta
puntura	iniezione
compiutezza	completezza
centralinista	telefonista
rinunzia	rinuncia
jury	giuria
costruzione	struttura
prodotto	risultato
fastello	fascio
pendola	pendolo
negromanzia	necromanzia
trend	andamento
propagandista	divulgatore
ipotrofia	atrofia
sommersione	inabissamento
fosforo	p
falla	breccia
lotteria	lotto
sergente	vicebrigadiere
vitto	arma
ambiguità	bivalenza
eremita	certosino
